Mairie;Label VVF;Adresse 1;Adresse 2;Boîte postale;Département;Code postal;Ville;wgs84
MAIRIE D'ANNET-SUR-MARNE;3 fleurs;Hôtel de Ville;38 rue Paul-Valentin;BP n°3;77;77410;ANNET-SUR-MARNE;48.9256373, 2.7210641
MAIRIE D'ARNOUVILLE;3 fleurs;Hôtel de Ville;15-17 rue Robert Schuman;CS 20101;95;95400;ARNOUVILLE;48.9896288, 2.4202668
MAIRIE D'AUBERVILLIERS;2 fleurs;Hôtel de Ville;37 Rue du Moutier;;93;93300;AUBERVILLIERS;48.9151624, 2.3793442
MAIRIE DE BAILLY;1 fleur;Hôtel de Ville;1 rue des Chênes;;78;78870;BAILLY;48.8390927, 2.0793698
MAIRIE DE BEAUMONT-SUR-OISE;1 fleur;Hôtel de Ville;29 rue de Paris;;95;95260;BEAUMONT-SUR-OISE;49.1416945, 2.2840823
MAIRIE DE BERNES-SUR-OISE;2 fleurs;Hôtel de Ville;Place de la Mairie;;95;95340;BERNES SUR OISE;49.1611088, 2.301361
MAIRIE DE BOULOGNE BILLANCOURT;3 fleurs;Hôtel de Ville;26 avenue André Morizet;;92;92100;BOULOGNE-BILLANCOURT;48.8359758, 2.240282
MAIRIE DE GENTILLY;1 fleur;Hôtel de Ville;14 place Henri Barbusse;;94;94250;GENTILLY;48.815419, 2.3486794
MAIRIE DE L'ISLE-ADAM;3 fleurs;Hôtel de Ville;45 Grande Rue;B.P. 90083;95;95290;L'ISLE-ADAM;49.1122987, 2.2180793
MAIRIE DE LA TRETOIRE;1 fleur;Hôtel de Ville;Place de la Mairie;;77;77510;LA TRETOIRE;48.9236503, 3.2735543
MAIRIE DE LEVALLOIS-PERRET;4 fleurs;Hôtel de Ville;Place de la République;;92;92300;LEVALLOIS-PERRET;48.8931616, 2.2886643
MAIRIE DE LIZY-SUR-OURCQ;1 fleur;Hôtel de Ville;Place de Verdun;;77;77440;LIZY-SUR-OURCQ;48.9993208, 3.004241
