Mairie;Label VVF;Adresse 1;Adresse 2;Boîte postale;Dép;Département;Code postal;Ville;wgs84
MAIRIE DE CHOISY-LE-ROI;3 fleurs;Hôtel de Ville;Place Gabriel Péri;BP 208;94.0;Val-de-Marne;94607.0;CHOISY LE ROI CEDEX;48.762962, 2.408831
MAIRIE DE CLICHY-LA-GARENNE;3 fleurs;Hôtel de Ville;80 bd Jean Jaurès;BP 300;92.0;Hauts-de-Seine;92112.0;CLICHY LA GARENNE;48.9024706, 2.3042784
MAIRIE DE DOMONT;3 fleurs;Hôtel de Ville;47 rue de la Mairie;;95.0;Val-d'Oise;95330.0;DOMONT;49.027332, 2.3266483
MAIRIE D'ETRECHY;2 fleurs;Hôtel de Ville;Place Charles de Gaulle;;91.0;Essonne;91580.0;ETRECHY;48.4935553, 2.1895444
MAIRIE DE FAREMOUTIERS;2 fleurs;Hôtel de Ville;Avenue Victor Massoul;;77.0;Seine-et-Marne;77515.0;FAREMOUTIERS;48.8032826, 3.0011501
MAIRIE DE FRESNES-SUR-MARNE;1 fleur;Hôtel de Ville;2 rue de l'Église;;77.0;Seine-et-Marne;77410.0;FRESNES SUR MARNE;48.9376321, 2.7415198
MAIRIE DE HOUILLES;2 fleurs;Hôtel de Ville;16 rue Gambetta;;78.0;Yvelines;78805.0;HOUILLES;48.9231927, 2.186706
MAIRIE DE LA CHAPELLE-IGER;1 fleur;Hôtel de Ville;2 rue du Maréchal Leclerc;;77.0;Seine-et-Marne;77540.0;LA CHAPELLE-IGER;48.6520048, 2.9901192
MAIRIE DU PLESSIS-TREVISE;3 fleurs;Hôtel de Ville;36 avenue Ardouin;;94.0;Val-de-Marne;94420.0;LE PLESSIS TREVISE;48.8087415, 2.5730938
MAIRIE DES MUREAUX;3 fleurs;Hôtel de Ville;Place de la liberation;;78.0;Yvelines;78130.0;LES MUREAUX;49.0399635, 1.9411943
MAIRIE DE LISSES;2 fleurs;Hôtel de Ville;2 rue Thirouin;;91.0;Essonne;91090.0;LISSES;48.5978434, 2.4249823
MAIRIE DE LIZY-SUR-OURCQ;2 fleurs;Hôtel de Ville;Place de Verdun;;77.0;Seine-et-Marne;77440.0;LIZY-SUR-OURCQ;48.9993208, 3.004241
MAIRIE DE CHAMPS-SUR-MARNE;3 fleurs;Hôtel de Ville;1 rue de la mairie;BP 1 Champs-sur-Marne;77.0;Seine-et-Marne;77427.0;MARNE LA VALLEE CEDEX 2;48.852306, 2.602327
MAIRIE DE MAROLLES-EN-BRIE (94);3 fleurs;Hôtel de Ville;Place Charles de Gaulle;;94.0;Val-de-Marne;94440.0;MAROLLES-EN-BRIE;48.7524098, 2.4997758
MAIRIE DE NEUILLY-PLAISANCE;2 fleurs;Hôtel de Ville;6 rue du Général de Gaulle;;93.0;Seine-Saint-Denis;93360.0;NEUILLY PLAISANCE;48.8609973, 2.5063705
