organisme;label_vvf;rue_1;rue_2;rue_3;code_departement;cp;ville;geocode2
MAIRIE DE MORET-SUR-LOING;2 fleurs;Hôtel de Ville;26 rue Grande;;77;77250.0;MORET-SUR-LOING;48.303657213, 2.82605774417
MAIRIE DE MONTGERON;2 fleurs;Hôtel de Ville;112 bis avenue de la République;;91;91230.0;MONTGERON;48.6951531801, 2.46249881778
MAIRIE DE BREUILLET;1 fleur;Hôtel de Ville;3 rue de la Gare;;91;91650.0;BREUILLET;48.5718215115, 2.16598389799
MAIRIE DE ROMAINVILLE;2 fleurs;Hôtel de Ville;4 rue de Paris;;93;93231.0;ROMAINVILLE CEDEX;48.8851876, 2.4359569
MAIRIE DE BOISSY-SAINT-LEGER;3 fleurs;Hôtel de Ville;7 bd Léon Révillon;;94;94470.0;BOISSY-SAINT-LEGER;48.7470359922, 2.52528049019
MAIRIE DE MONTALET-LE-BOIS;1 fleur;Hôtel de Ville;2 rue de l'Eglise;;78;78440.0;MONTALET-LE-BOIS;49.0624169047, 1.81689951894
MAIRIE DE PARAY-VIEILLE-POSTE;3 fleurs;Hôtel de Ville;8 place Henri Barbusse;;91;91550.0;PARAY VIEILLE POSTE;48.7241848219, 2.3598349385
MAIRIE DE MONTROUGE;3 fleurs;Hôtel de Ville;43 avenue de la République;;92;92120.0;MONTROUGE;48.8153032159, 2.31648921432
MAIRIE DE CLAMART;2 fleurs;Hôtel de Ville;Place Maurice Gunsbourg;;92;92141.0;CLAMART CEDEX;48.8002784, 2.262678
MAIRIE DE RUNGIS;4 fleurs;Hôtel de Ville;5 rue Sainte-Geneviève;;94;94150.0;RUNGIS;48.7494821504, 2.35281832827
MAIRIE DE BEAUMONT-SUR-OISE;1 fleur;Hôtel de Ville;29 rue de Paris;;95;95260.0;BEAUMONT-SUR-OISE;49.1400981058, 2.30021267239
MAIRIE DE PROVINS;3 fleurs;Hôtel de Ville;5 place du Général Leclerc;;77;77160.0;PROVINS;48.5723421342, 3.33441347649
MAIRIE DE NOISIEL;2 fleurs;Hôtel de Ville;26 Place Emile Menier;;77;77186.0;NOISIEL;48.8460926469, 2.61997100426
MAIRIE DU CHATELET EN BRIE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;77;77820.0;LE CHATELET EN BRIE;48.5016068676, 2.80339101971
MAIRIE DES MUREAUX;2 fleurs;Hôtel de Ville;Place de la liberation;;78;78130.0;LES MUREAUX;48.9681465305, 1.9401229913
MAIRIE DE VAUCRESSON;1 fleur;Hôtel de Ville;8 Grande Rue;;92;92420.0;VAUCRESSON;48.8410515899, 2.16026455161
MAIRIE DE SARCELLES;2 fleurs;Centre administratif;4 place de Navarre;;95;95200.0;SARCELLES;48.9902250437, 2.38160272749
MAIRIE D'HERBLAY;1 fleur;Hôtel de Ville;43 rue du Général de Gaulle;;95;95220.0;HERBLAY;49.0007002763, 2.14967680776
MAIRIE DE GONESSE;2 fleurs;Hôtel de Ville;66 rue de Paris;BP 10060;95;95503.0;GONESSE CEDEX;49.0025527, 2.4711578
MAIRIE DE COMPANS;3 fleurs;Hôtel de Ville;1 rue de la Mairie;;77;77290.0;COMPANS;48.9892298685, 2.6561103822
MAIRIE DE CHAVENAY;2 fleurs;Hôtel de Ville;1 place de l'Eglise;;78;78450.0;CHAVENAY;48.8311450096, 2.0130908572
MAIRIE DE CHARENTON-LE-PONT;3 fleurs;Hôtel de Ville;48 rue de Paris;;94;94220.0;CHARENTON LE PONT;48.8228084978, 2.40760915477
MAIRIE DU KREMLIN BICETRE;1 fleur;Hôtel de Ville;42 rue de la Convention;;94;94270.0;LE KREMLIN BICETRE;48.809220102, 2.35657965243
MAIRIE D'ANDILLY;1 fleur;Hôtel de Ville;Rue René Cassin;;95;95580.0;ANDILLY;49.0084088051, 2.30277335813
MAIRIE DE COMBS-LA-VILLE;2 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;77;77380.0;COMBS-LA-VILLE;48.657908631, 2.57516916269
MAIRIE DE NEUILLY-PLAISANCE;1 fleur;Hôtel de Ville;6 rue du Général de Gaulle;;93;93360.0;NEUILLY PLAISANCE;48.8643287852, 2.51040249898
MAIRIE DE SAINT-GERMAIN-EN-LAYE;3 fleurs;Hôtel de Ville;16 rue de Pontoise;;78;78100.0;SAINT GERMAIN EN LAYE;48.9407041394, 2.09870929375
MAIRIE DE LA CELLE-SAINT-CLOUD;3 fleurs;Hôtel de Ville;8E avenue Charles de Gaulle;;78;78170.0;LA CELLE-SAINT-CLOUD;48.8469487124, 2.13519126228
MAIRIE DE VOISINS-LE-BRETONNEUX;2 fleurs;Hôtel de Ville;1 place Charles de Gaulle;B.P. 30036;78;78960.0;VOISINS LE BRETONNEUX;48.758677648, 2.04850691768
MAIRIE DU BLANC-MESNIL;3 fleurs;Hôtel de Ville;Place Gabriel Péri;;93;93156.0;LE BLANC MESNIL CEDEX;48.9383352, 2.4636599
MAIRIE DE VILLENEUVE-SAINT-GEORGES;1 fleur;Hôtel de Ville;20 place Pierre Sémard;;94;94190.0;VILLENEUVE SAINT GEORGES;48.7413809637, 2.448998846
MAIRIE DU PLESSIS-TREVISE;3 fleurs;Hôtel de Ville;36 avenue Ardouin;;94;94420.0;LE PLESSIS TREVISE;48.8060154583, 2.57619846918
MAIRIE DE VILLIERS-LE-BEL;1 fleur;Hôtel de Ville;32 rue de la République;;95;95400.0;VILLIERS LE BEL;49.0084494157, 2.40385604039
MAIRIE DE VARENNES-SUR-SEINE;2 fleurs;Hôtel de Ville;Grande Rue;;77;77130.0;VARENNES SUR SEINE;48.3838863955, 3.03202165862
MAIRIE DE MORANGIS;2 fleurs;Hôtel de Ville;12 avenue de la République;;91;91420.0;MORANGIS;48.702703885, 2.33614296581
